year,rainFall,finedust
20191118,14.7,66
20191119,0,71
20191120,0,64
20191121,0,124
20191122,0,76
20191123,0,78
20191124,3.8,78
20191125,0,75
20191126,0,79
20191127,0,77
20191128,0,96
20191129,0,77
20191130,0,98
20191201,3.3,56
20191202,0,90
20191203,0.6,90
20191204,0,66
20191205,0,86
20191206,0,76
20191207,0.1,66
20191208,0,90
20191209,0,81
20191210,1.7,89
20191211,0.2,66
20191212,0,154
20191213,1,26
20191214,0,28
20191215,0,23
20191216,0,33
20191217,9.8,32
20191218,0,31
20191219,0,28
20191220,0,27
20191221,0.6,30
20191222,0.3,30
20191223,2.9,33
20191224,0,21
20191225,0,36
20191226,0.3,26
20191227,0,36
20191228,0,27
20191229,1.4,26
20191230,0.4,37
20191231,0,33
20200101,0.1,27
20200102,0,38
20200103,0,32
20200104,0,30
20200105,0,27
20200106,1.8,42
20200107,46.3,20
20200108,11.6,20
20200109,0,16
20200110,0,23
20200111,0,22
20200112,0,26
20200113,0,21
20200114,0,19
20200115,0,22
20200116,0,22
20200117,0,27
20200118,0,18
20200119,0.6,23
20200120,0,21
20200121,0,27
20200122,0,19
20200123,0,20
20200124,0,27
20200125,0,25
20200126,0,23
20200127,0.1,30
20200128,0,25
20200129,0,25
20200130,0,19
20200131,0,35
20200201,0,32
20200202,0,34
20200203,0,26
20200204,1.7,36
20200205,0,36
20200206,0,38
20200207,0,31
20200208,0,34
20200209,0,34
20200210,0,40
20200211,0,46
20200212,6.7,39
20200213,0,39
20200214,0,35
20200215,2,43
20200216,13.4,38
20200217,1,31
20200218,0,43
20200219,0,38
20200220,0,33
20200221,4.2,44
20200222,3.1,42
20200223,0,42
20200224,0,33
20200225,16.6,49
20200226,0,41
20200227,0,40
20200228,3.9,36
20200229,0.5,39
20200301,0.2,37
20200302,0,45
20200303,0,32
20200304,0,41
20200305,0,46
20200306,0,53
20200307,0,56
20200308,0,40
20200309,0,44
20200310,11.8,39
20200311,0,55
20200312,0,45
20200313,0.5,39
20200314,0,48
20200315,0,51
20200316,0,39
20200317,0,58
20200318,0,48
20200319,0,52
20200320,0,37
20200321,0,57
20200322,0,31
20200323,0,33
20200324,0,23
20200325,0,22
20200326,1.8,20
20200327,2,33
20200328,0,26
20200329,0,34
20200330,0,33
20200331,0,40
20200401,0,42
20200402,0,27
20200403,0,28
20200404,0,30
20200405,0,42
20200406,0,33
20200407,0,27
20200408,0,37
20200409,0,39
20200410,0,30
20200411,0,42
20200412,0,40
20200413,0,41
20200414,0,35
20200415,0,51
20200416,0,29
20200417,6.5,32
20200418,0,29
20200419,10.3,25
20200420,0.1,23
20200421,0,34
20200422,0,27
20200423,0,30
20200424,0,31
20200425,0,35
20200426,0,35
20200427,0,26
20200428,0,29
20200429,0,26
20200430,0,41
20200501,0,33
20200502,0,29
20200503,0,34
20200504,0,35
20200505,0,24
20200506,0,43
20200507,0,35
20200508,2.3,38
20200509,24.4,27
20200510,1.3,43
20200511,3.4,23
20200512,0.7,24
20200513,0,25
20200514,0,26
20200515,12,24
20200516,2.5,28
20200517,0,21
20200518,29.8,24
20200519,19,26
20200520,0,26
20200521,0,28
20200522,0,24
20200523,0,27
20200524,14.5,25
20200525,0,32
20200526,1.5,34
20200527,0,23
20200528,0,33
20200529,0,28
20200530,0,26
20200531,1,32
20200601,0.4,30
20200602,2,28
20200603,0,21
20200604,0.2,36
20200605,0,22
20200606,0,25
20200607,0,17
20200608,0,21
20200609,0,15
20200610,6.2,32
20200611,0,17
20200612,0,24
20200613,0,26
20200614,1.1,29
20200615,0,32
20200616,0,22
20200617,0,22
20200618,0,24
20200619,0.1,41
20200620,0,24
20200621,0,25
20200622,0,28
20200623,0,26
20200624,37.6,23
20200625,13.3,41
20200626,2.1,28
20200627,0,29
20200628,0,25
20200629,11.9,32
20200630,64.7,33
20200701,0,33
20200702,0,31
20200703,0.1,42
20200704,1.6,39
20200705,0,47
20200706,0,28
20200707,0,36
20200708,0,38
20200709,0,39
20200710,2.2,41
20200711,0,32
20200712,2.9,40
20200713,47.6,34
20200714,11.5,48
20200715,0,40
20200716,0,35
20200717,0,46
20200718,0,40
20200719,29.1,37
20200720,3.6,50
20200721,0,43
20200722,11.5,46
20200723,103.1,32
20200724,2.9,60
20200725,0,36
20200726,0,33
20200727,2.2,33
20200728,0.4,39
20200729,50.1,38
20200730,0.1,46
20200731,1.5,29
20200801,39.1,35
20200802,31.4,37
20200803,102.6,36
20200804,3.9,35
20200805,18.5,26
20200806,75.7,32
20200807,0,30
20200808,19.1,45
20200809,50.3,38
20200810,44.6,33
20200811,97,45
20200812,0,43
20200813,0,36
20200814,0.4,48
20200815,69,41
20200816,0,44
20200817,0,31
20200818,0,61
20200819,0,40
20200820,0,43
20200821,2.5,39
20200822,42.6,45
20200823,0,44
20200824,0,46
20200825,0,40
20200826,0.6,43
20200827,8.7,45
20200828,13.6,52
20200829,13.6,50
20200830,42.5,43
20200831,0,46
20200901,0,38
20200902,33.3,54
20200903,29.8,39
20200904,0,38
20200905,0,49
20200906,6.4,44
20200907,61,40
20200908,0,51
20200909,1.3,54
20200910,3.9,49
20200911,1.2,40
20200912,5.7,56
20200913,0,41
20200914,0,44
20200915,0,39
20200916,0.3,44
20200917,0,40
20200918,0,48
20200919,0.3,35
20200920,0,38
20200921,0,46
20200922,0,53
20200923,0,49
20200924,0,44
20200925,0,45
20200926,0,40
20200927,0,67
20200928,0,48
20200929,0,42
20200930,38.3,49
20201001,0,46
20201002,0,38
20201003,0,59
20201004,0,51
20201005,0,55
20201006,0,37
20201007,0,52
20201008,0,36
20201009,0,38
20201010,0,35
20201011,0,38
20201012,0,39
